nct,http_status,n_armgroups,sha256,from_cache
NCT03099382,200,2,c16a79c796e4db3d,False
NCT03103321,200,4,3715a9aa7a23766a,False
NCT03106779,200,2,289b0a2b0eba04b3,False
NCT03110562,200,4,cf8d6ca155e66f77,False
NCT03125902,200,2,61bd70a115a24626,False
NCT03131713,200,2,492859ae20d341c8,False
NCT03137121,200,2,b70eb3637bb36b3b,False
NCT03141177,200,3,ffd1f580ed6fa8e3,False
NCT03142334,200,2,91a47e5b0914f944,False
NCT03143153,200,3,ad2208cf1be274e8,False
NCT03151408,200,2,95e3dd3323fa9d32,False
NCT03151811,200,2,4f5d6fd19e04641d,False
NCT03155997,200,2,e0decfc6c2580336,False
NCT03158688,200,2,ad2320d739035191,False
NCT03164616,200,3,631ba09d1ecc863c,False
NCT03173248,200,2,229f0ef623ab5efe,False
NCT03180307,200,2,0dfe7f4be93ab48b,False
NCT03180736,200,2,97cc610a8edcf00e,False
NCT03189719,200,2,75e591779657a5c2,False
NCT03191786,200,2,95b2de35d204359d,False
NCT03196791,200,2,30a01be67ec3de17,False
NCT03197935,200,2,843160445ef12c04,False
