filename,NCT Number,pmid,conf_flip,uncertain,mismatch,no_iv,no_ct,plac_iv
PMID 24297950 a_Summary_SoE.pdf,NCT00474786,24297950,True,False,False,False,True,False
PMID 24297951 a_Summary_SoE.pdf,NCT01099449,24297951,False,True,False,False,False,True
PMID 24401022 a_Summary_SoE.pdf,NCT01998880,24401022,True,False,False,False,False,False
PMID 24450857 a_Summary_SoE.pdf,NCT01539512,24450857,True,False,False,True,False,False
PMID 24552320 a_Summary_SoE.pdf,NCT00803062,24552320,False,True,False,False,False,False
PMID 24733799 a_Summary_SoE.pdf,NCT01156142,24733799,True,False,False,False,False,True
PMID 24881463 a_Summary_SoE.pdf,NCT00066703,24881463,False,False,True,False,False,False
PMID 24888818 a_Summary_SoE.pdf,NCT00382018,24888818,False,True,False,False,False,False
PMID 24934787 a_Summary_SoE.pdf,NCT00041119,24934787,False,False,True,False,False,False
PMID 25092781 a_Summary_SoE.pdf,NCT00372593,25092781,False,False,True,True,False,False
PMID 25184863 a_Summary_SoE.pdf,NCT00689936,25184863,False,True,False,False,False,False
PMID 25267740 a_Summary_SoE.pdf,NCT00078949,25267740,False,False,True,False,True,False
PMID 25311218 a_Summary_SoE.pdf,NCT00025259,25311218,False,False,True,False,True,False
PMID 25332243 a_Summary_SoE.pdf,NCT00006237,25332243,False,False,True,False,False,False
PMID 25354103 a_Summary_SoE.pdf,NCT00412360,25354103,True,False,False,False,True,False
PMID 25366680 a_Summary_SoE.pdf,NCT00047008,25366680,True,False,False,False,True,False
PMID 25422488 a_Summary_SoE.pdf,NCT00070564,25422488,False,False,True,False,False,False
PMID 25470694 a_Summary_SoE.pdf,NCT01154140,25470694,True,False,False,False,False,False
PMID 25495490 a_Summary_SoE.pdf,NCT00066690,25495490,False,True,False,False,False,False
PMID 25671254 a_Summary_SoE.pdf,NCT01321554,25671254,False,False,True,False,False,False
PMID 25682602 a_Summary_SoE.pdf,NCT00929695,25682602,False,False,True,False,False,False
PMID 25713428 a_Summary_SoE.pdf,NCT01012297,25713428,True,False,False,False,True,True
PMID 25779558 a_Summary_SoE.pdf,NCT00667251,25779558,True,False,False,True,False,False
PMID 25891173 a_Summary_SoE.pdf,NCT01866319,25891173,True,True,False,False,False,False
PMID 26027431 a_Summary_SoE.pdf,NCT01844505,26027431,False,True,False,False,True,False
PMID 26028407 a_Summary_SoE.pdf,NCT01642004,26028407,True,False,False,False,True,False
PMID 26040499 a_Summary_SoE.pdf,NCT00556374,26040499,False,False,True,False,False,False
PMID 26056177 a_Summary_SoE.pdf,NCT00507416,26056177,False,False,False,False,True,False
PMID 26122726 a_Summary_SoE.pdf,NCT01519700,26122726,True,False,False,False,False,False
PMID 26206652 CT_Summary_SoE.pdf,NCT01596283,26206652,True,False,False,True,False,False
PMID 26351350 a_Summary_SoE.pdf,NCT01989572,26351350,False,True,False,False,False,True
PMID 26412349 a_Summary_SoE.pdf,NCT00310180,26412349,False,False,True,False,True,False
PMID 26673811 a_Summary_SoE.pdf,NCT01646021,26673811,True,False,False,False,True,False
PMID 26712084b_Summary_SoE.pdf,NCT01905657,26712084,False,True,False,False,False,False
PMID 26933849 a_Summary_SoE.pdf,NCT01167712,26933849,True,False,False,False,True,False
PMID 26997579 a _Summary_SoE.pdf,NCT02106494,26997579,True,False,False,False,False,False
PMID 27264120 a_Summary_SoE.pdf,NCT00754845,27264120,False,False,True,False,False,False
PMID 27458945 a_Summary_SoE.pdf,NCT00377156,27458945,True,False,False,False,False,False
PMID 27569442 CT_Summary_SoE.pdf,NCT00134030,27569442,False,False,True,False,False,False
PMID 27717299 a_Summary_SoE.pdf,NCT01847274,27717299,False,False,True,False,False,False
PMID 27908454 CT_Summary_SoE.pdf,NCT01602380,27908454,True,False,False,False,False,False
PMID 27914822_Summary_SoE.pdf,NCT00716976,27914822,True,False,False,False,True,False
PMID 27918724 a_Summary_SoE.pdf,NCT01677910,27918724,False,False,True,False,False,True
PMID 28030702 a_Summary_SoE.pdf,NCT00869206,28030702,False,False,True,False,True,False
PMID 28056202 a_Summary_SoE.pdf,NCT01120184,28056202,False,True,False,False,True,True
PMID 28125763 a_Summary_SoE.pdf,NCT00320710,28125763,False,False,True,False,True,False
PMID 28296618 a_Summary_SoE.pdf,NCT00482677,28296618,True,False,False,True,False,False
PMID 28384065 a_Summary_SoE.pdf,NCT00569127,28384065,True,False,False,False,True,False
PMID 28438473 a_Summary_SoE.pdf,NCT00565851,28438473,False,False,True,False,False,False
PMID 28492898 CT_Summary_SoE.pdf,NCT01933932,28492898,True,False,False,False,True,True
PMID 28632865 a_Summary_SoE.pdf,NCT00265850,28632865,False,False,True,False,False,False
PMID 28746153 CT_Summary_SoE.pdf,NCT01438476,28746153,True,False,False,False,True,False
PMID 28809610 a_Summary_SoE.pdf,NCT01308580,28809610,False,False,True,False,False,False
PMID 28891423 a_Summary_SoE.pdf,NCT02388906,28891423,False,False,True,False,True,True
PMID 28935843 a_Summary_SoE.pdf,NCT01649856,28935843,True,False,False,False,False,False
PMID 29158011 CT_Summary_SoE.pdf,NCT00553410,29158011,False,False,True,False,False,False
PMID 29169877 CT_Summary_SoE.pdf,NCT00946712,29169877,False,False,True,False,False,False
PMID 29238824 a_Summary_SoE.pdf,NCT01067144,29238824,False,False,True,False,False,False
PMID 29244528 a_Summary_SoE.pdf,NCT01160211,29244528,True,False,False,False,False,False
PMID 29477665 CT_Summary_SoE.pdf,NCT01667419,29477665,False,False,True,False,False,False
PMID 29522138 a_Summary_SoE.pdf,NCT02055781,29522138,False,True,False,False,False,False
PMID 29562156 a_Summary_SoE.pdf,NCT02005471,29562156,False,False,True,False,False,False
PMID 29573941 a_Summary_SoE.pdf,NCT01909453,29573941,False,False,True,False,False,False
PMID 29625879 CT_Summary_SoE.pdf,NCT01755767,29625879,False,False,True,False,False,False
PMID 29856685 a_Summary_SoE.pdf,NCT02165397,29856685,False,False,True,False,True,True
PMID 29866475 CT_Summary_SoE.pdf,NCT02412878,29866475,True,False,False,False,True,False
PMID 29989857 a_Summary_SoE.pdf,NCT01672892,29989857,True,False,False,False,False,False
PMID 30040523 a_Summary_SoE.pdf,NCT00433511,30040523,False,True,False,False,False,False
PMID 30052729 CT_Summary_SoE.pdf,NCT02625623,30052729,False,False,True,False,False,False
PMID 30072745 a_Summary_SoE.pdf,NCT00770874,30072745,True,False,False,False,False,False
PMID 30105668 a_Summary_SoE.pdf,NCT02101021,30105668,True,False,False,False,False,False
PMID 30280657 a_Summary_SoE.pdf,NCT02737501,30280657,False,False,True,False,False,False
PMID 30355453 CT_Summary_SoE.pdf,NCT02500043,30355453,True,False,False,False,True,True
PMID 30415629 a_Summary_SoE.pdf,NCT01169259,30415629,True,True,False,True,False,False
PMID 30449625 CT_Summary_SoE.pdf,NCT01302834,30449625,True,False,False,True,False,False
PMID 30501481 a_Summary_SoE.pdf,NCT01886872,30501481,False,True,False,False,False,False
PMID 30522969 CT_Summary_SoE.pdf,NCT02264574,30522969,True,False,False,False,True,False
PMID 30653422 a_Summary_SoE.pdf,NCT01109004,30653422,False,True,False,True,False,False
PMID 30665869 CT_Summary_SoE.pdf,NCT02435433,30665869,False,False,True,False,False,False
PMID 30763730 CT_Summary_SoE.pdf,NCT02454933,30763730,True,False,False,False,True,False
PMID 30777794 a_Summary_SoE.pdf,NCT01539083,30777794,False,False,True,False,True,False
PMID 30786186 a_Summary_SoE.pdf,NCT02555878,30786186,True,False,False,False,True,True
PMID 30811280 a_Summary_SoE.pdf,NCT02714218,30811280,False,False,True,False,True,False
PMID 30817251 CT_Summary_SoE.pdf,NCT01322490,30817251,False,True,False,False,False,True
PMID 30939090 a_Summary_SoE.pdf,NCT00118209,30939090,False,False,True,False,False,False
PMID 30990550 a_Summary_SoE.pdf,NCT02229539,30990550,False,True,False,False,False,False
PMID 30995176 CT a_Summary_SoE.pdf,NCT01539291,30995176,True,False,False,False,True,False
PMID 31002578 a_Summary_SoE.pdf,NCT00951496,31002578,True,False,False,False,True,False
PMID 31003911 CT_Summary_SoE.pdf,NCT02788279,31003911,False,True,False,False,False,False
PMID 31141632 a_Summary_SoE.pdf,NCT02252172,31141632,True,False,False,True,False,False
PMID 31150574 a_Summary_SoE.pdf,NCT02489318,31150574,True,False,False,False,True,True
